sid,memoryid,rankid,bankid,category,permanency
Server_10037,2,,,multiple_single_bit_failures,permanent
Server_10038,22,,,multiple_single_bit_failures,permanent
Server_10039,4,,,multiple_single_bit_failures,permanent
Server_10039,20,,,multiple_single_bit_failures,permanent
Server_1004,4,,,multiple_single_bit_failures,permanent
Server_10040,16,,,multiple_single_bit_failures,permanent
Server_10041,17,,,multiple_single_bit_failures,permanent
Server_10046,17,,,multiple_single_bit_failures,permanent
Server_10049,5,,,multiple_single_bit_failures,permanent
Server_10050,4,,,multiple_single_bit_failures,permanent
Server_10050,6,,,multiple_single_bit_failures,permanent
Server_10051,10,,,multiple_single_bit_failures,permanent
Server_10051,21,,,multiple_single_bit_failures,permanent
Server_10053,0,,,multiple_single_bit_failures,permanent
Server_10055,6,,,multiple_single_bit_failures,permanent
Server_10056,23,,,multiple_single_bit_failures,permanent
Server_10057,2,,,multiple_single_bit_failures,permanent
Server_10059,19,,,multiple_single_bit_failures,permanent
Server_1006,10,,,multiple_single_bit_failures,permanent
Server_10061,8,,,multiple_single_bit_failures,permanent
Server_10062,7,,,multiple_single_bit_failures,permanent
Server_10063,2,,,multiple_single_bit_failures,permanent
Server_10063,22,,,multiple_single_bit_failures,permanent
Server_10064,13,,,multiple_single_bit_failures,permanent
Server_10065,8,,,multiple_single_bit_failures,permanent
Server_10066,6,,,multiple_single_bit_failures,permanent
Server_10067,9,,,multiple_single_bit_failures,permanent
Server_10067,10,,,multiple_single_bit_failures,permanent
Server_10069,4,,,multiple_single_bit_failures,permanent
Server_10071,3,,,multiple_single_bit_failures,permanent
Server_10072,8,,,multiple_single_bit_failures,permanent
Server_10073,19,,,multiple_single_bit_failures,permanent
Server_10074,22,,,multiple_single_bit_failures,permanent
Server_10075,2,,,multiple_single_bit_failures,permanent
Server_10076,3,,,multiple_single_bit_failures,permanent
Server_10077,17,,,multiple_single_bit_failures,permanent
Server_10078,12,,,multiple_single_bit_failures,permanent
Server_10079,22,,,multiple_single_bit_failures,permanent
Server_10083,14,,,multiple_single_bit_failures,permanent
Server_10088,0,,,multiple_single_bit_failures,permanent
Server_10090,6,,,multiple_single_bit_failures,permanent
Server_10091,22,,,multiple_single_bit_failures,permanent
Server_10093,22,,,multiple_single_bit_failures,permanent
Server_10094,16,,,multiple_single_bit_failures,permanent
Server_10095,8,,,multiple_single_bit_failures,permanent
Server_10095,22,,,multiple_single_bit_failures,permanent
Server_10096,18,,,multiple_single_bit_failures,permanent
Server_10097,10,,,multiple_single_bit_failures,permanent
Server_10098,16,,,multiple_single_bit_failures,permanent
Server_10099,14,,,multiple_single_bit_failures,permanent
Server_10100,16,,,multiple_single_bit_failures,permanent
Server_10102,14,,,multiple_single_bit_failures,permanent
Server_10103,0,,,multiple_single_bit_failures,permanent
Server_10107,2,,,multiple_single_bit_failures,permanent
Server_10110,8,,,multiple_single_bit_failures,permanent
Server_10111,6,,,multiple_single_bit_failures,permanent
Server_10112,8,,,multiple_single_bit_failures,permanent
Server_10113,8,,,multiple_single_bit_failures,permanent
Server_10114,10,,,multiple_single_bit_failures,permanent
Server_10115,10,,,multiple_single_bit_failures,permanent
Server_10115,18,,,multiple_single_bit_failures,permanent
Server_10116,10,,,multiple_single_bit_failures,permanent
Server_10117,16,,,multiple_single_bit_failures,permanent
Server_10120,22,,,multiple_single_bit_failures,permanent
Server_10122,18,,,multiple_single_bit_failures,permanent
Server_10125,6,,,multiple_single_bit_failures,permanent
Server_10127,20,,,multiple_single_bit_failures,permanent
Server_10129,5,,,multiple_single_bit_failures,permanent
Server_10131,10,,,multiple_single_bit_failures,permanent
Server_10132,2,,,multiple_single_bit_failures,permanent
Server_10133,22,,,multiple_single_bit_failures,permanent
Server_10135,10,,,multiple_single_bit_failures,permanent
Server_10138,20,,,multiple_single_bit_failures,permanent
Server_1014,12,,,multiple_single_bit_failures,permanent
Server_10141,22,,,multiple_single_bit_failures,permanent
Server_10142,8,,,multiple_single_bit_failures,permanent
Server_10143,8,,,multiple_single_bit_failures,permanent
Server_10144,8,,,multiple_single_bit_failures,permanent
Server_10146,6,,,multiple_single_bit_failures,permanent
Server_10148,10,,,multiple_single_bit_failures,permanent
Server_10149,12,,,multiple_single_bit_failures,permanent
Server_1015,22,,,multiple_single_bit_failures,permanent
Server_10151,22,,,multiple_single_bit_failures,permanent
Server_10152,10,,,multiple_single_bit_failures,permanent
Server_10153,0,,,multiple_single_bit_failures,permanent
Server_10153,22,,,multiple_single_bit_failures,permanent
Server_10154,22,,,multiple_single_bit_failures,permanent
Server_10155,10,,,multiple_single_bit_failures,permanent
Server_10156,20,,,multiple_single_bit_failures,permanent
Server_10157,16,,,multiple_single_bit_failures,permanent
Server_10158,0,,,multiple_single_bit_failures,permanent
Server_10159,12,,,multiple_single_bit_failures,permanent
Server_10160,2,,,multiple_single_bit_failures,permanent
Server_10164,2,,,multiple_single_bit_failures,permanent
Server_10165,8,,,multiple_single_bit_failures,permanent
Server_10166,12,,,multiple_single_bit_failures,permanent
Server_10167,18,,,multiple_single_bit_failures,permanent
Server_10169,10,,,multiple_single_bit_failures,permanent
Server_10170,22,,,multiple_single_bit_failures,permanent
Server_10171,10,,,multiple_single_bit_failures,permanent
Server_10173,2,,,multiple_single_bit_failures,permanent
Server_10174,0,,,multiple_single_bit_failures,permanent
Server_10176,14,,,multiple_single_bit_failures,permanent
Server_10177,10,,,multiple_single_bit_failures,permanent
Server_10180,14,,,multiple_single_bit_failures,permanent
Server_10181,20,,,multiple_single_bit_failures,permanent
Server_10184,6,,,multiple_single_bit_failures,permanent
Server_10186,2,,,multiple_single_bit_failures,permanent
Server_10189,4,,,multiple_single_bit_failures,permanent
Server_10192,20,,,multiple_single_bit_failures,permanent
Server_10193,10,,,multiple_single_bit_failures,permanent
Server_10195,8,,,multiple_single_bit_failures,permanent
Server_10198,6,,,multiple_single_bit_failures,permanent
Server_10199,0,,,multiple_single_bit_failures,permanent
Server_10200,18,,,multiple_single_bit_failures,permanent
Server_10203,22,,,multiple_single_bit_failures,permanent
Server_10204,14,,,multiple_single_bit_failures,permanent
Server_10206,12,,,multiple_single_bit_failures,permanent
Server_10208,0,,,multiple_single_bit_failures,permanent
Server_10210,20,,,multiple_single_bit_failures,permanent
Server_10211,2,,,multiple_single_bit_failures,permanent
Server_10213,14,,,multiple_single_bit_failures,permanent
Server_10217,2,,,multiple_single_bit_failures,permanent
Server_10218,14,,,multiple_single_bit_failures,permanent
Server_10219,2,,,multiple_single_bit_failures,permanent
Server_10220,16,,,multiple_single_bit_failures,permanent
Server_10221,16,,,multiple_single_bit_failures,permanent
Server_10222,14,,,multiple_single_bit_failures,permanent
Server_10223,10,,,multiple_single_bit_failures,permanent
Server_10227,12,,,multiple_single_bit_failures,permanent
Server_10230,2,,,multiple_single_bit_failures,permanent
Server_10233,12,,,multiple_single_bit_failures,permanent
Server_10234,14,,,multiple_single_bit_failures,permanent
Server_1024,18,,,multiple_single_bit_failures,permanent
Server_10242,15,,,multiple_single_bit_failures,permanent
Server_10243,10,,,multiple_single_bit_failures,permanent
Server_10245,4,,,multiple_single_bit_failures,permanent
Server_10246,0,,,multiple_single_bit_failures,permanent
Server_10249,15,,,multiple_single_bit_failures,permanent
Server_10253,5,,,multiple_single_bit_failures,permanent
Server_10255,21,,,multiple_single_bit_failures,permanent
Server_10256,20,,,multiple_single_bit_failures,permanent
Server_10257,23,,,multiple_single_bit_failures,permanent
Server_10258,20,,,multiple_single_bit_failures,permanent
Server_10259,3,,,multiple_single_bit_failures,permanent
Server_10262,7,,,multiple_single_bit_failures,permanent
Server_10264,6,,,multiple_single_bit_failures,permanent
Server_10265,7,,,multiple_single_bit_failures,permanent
Server_10266,20,,,multiple_single_bit_failures,permanent
Server_10268,11,,,multiple_single_bit_failures,permanent
Server_10269,1,,,multiple_single_bit_failures,permanent
Server_10269,5,,,multiple_single_bit_failures,permanent
Server_10269,18,,,multiple_single_bit_failures,permanent
Server_10271,6,,,multiple_single_bit_failures,permanent
Server_10273,0,,,multiple_single_bit_failures,permanent
Server_10274,16,,,multiple_single_bit_failures,permanent
Server_10278,12,,,multiple_single_bit_failures,permanent
Server_10280,15,,,multiple_single_bit_failures,permanent
Server_10282,22,,,multiple_single_bit_failures,permanent
Server_10283,7,,,multiple_single_bit_failures,permanent
Server_10284,14,,,multiple_single_bit_failures,permanent
Server_10288,8,,,multiple_single_bit_failures,permanent
Server_10289,7,,,multiple_single_bit_failures,permanent
Server_1029,0,,,multiple_single_bit_failures,permanent
Server_10290,11,,,multiple_single_bit_failures,permanent
Server_10290,13,,,multiple_single_bit_failures,permanent
Server_10291,11,,,multiple_single_bit_failures,permanent
Server_10293,22,,,multiple_single_bit_failures,permanent
Server_10294,8,,,multiple_single_bit_failures,permanent
Server_10295,3,,,multiple_single_bit_failures,permanent
Server_10296,0,,,multiple_single_bit_failures,permanent
Server_10297,16,,,multiple_single_bit_failures,permanent
Server_10298,20,,,multiple_single_bit_failures,permanent
Server_10299,7,,,multiple_single_bit_failures,permanent
Server_1030,14,,,multiple_single_bit_failures,permanent
Server_10301,3,,,multiple_single_bit_failures,permanent
Server_10302,8,,,multiple_single_bit_failures,permanent
Server_10303,2,,,multiple_single_bit_failures,permanent
Server_10305,21,,,multiple_single_bit_failures,permanent
Server_10306,8,,,multiple_single_bit_failures,permanent
Server_10307,1,,,multiple_single_bit_failures,permanent
Server_10307,6,,,multiple_single_bit_failures,permanent
Server_10308,6,,,multiple_single_bit_failures,permanent
Server_10309,11,,,multiple_single_bit_failures,permanent
Server_1031,4,,,multiple_single_bit_failures,permanent
Server_10311,6,,,multiple_single_bit_failures,permanent
Server_10312,7,,,multiple_single_bit_failures,permanent
Server_10313,22,,,multiple_single_bit_failures,permanent
Server_10314,6,,,multiple_single_bit_failures,permanent
Server_10315,21,,,multiple_single_bit_failures,permanent
Server_10317,19,,,multiple_single_bit_failures,permanent
Server_10318,8,,,multiple_single_bit_failures,permanent
Server_10319,15,,,multiple_single_bit_failures,permanent
Server_1032,2,,,multiple_single_bit_failures,permanent
Server_10320,14,,,multiple_single_bit_failures,permanent
Server_10321,16,,,multiple_single_bit_failures,permanent
Server_10321,22,,,multiple_single_bit_failures,permanent
Server_10322,21,,,multiple_single_bit_failures,permanent
Server_10323,4,,,multiple_single_bit_failures,permanent
Server_10323,15,,,multiple_single_bit_failures,permanent
Server_10325,15,,,multiple_single_bit_failures,permanent
Server_10326,19,,,multiple_single_bit_failures,permanent
Server_10327,17,,,multiple_single_bit_failures,permanent
Server_10328,5,,,multiple_single_bit_failures,permanent
Server_10329,9,,,multiple_single_bit_failures,permanent
Server_1033,0,,,multiple_single_bit_failures,permanent
Server_10331,2,,,multiple_single_bit_failures,permanent
Server_10332,16,,,multiple_single_bit_failures,permanent
Server_10333,14,,,multiple_single_bit_failures,permanent
Server_10337,4,,,multiple_single_bit_failures,permanent
Server_10340,9,,,multiple_single_bit_failures,permanent
Server_10341,4,,,multiple_single_bit_failures,permanent
Server_10344,14,,,multiple_single_bit_failures,permanent
Server_10345,14,,,multiple_single_bit_failures,permanent
Server_10346,21,,,multiple_single_bit_failures,permanent
Server_10347,2,,,multiple_single_bit_failures,permanent
Server_1035,2,,,multiple_single_bit_failures,permanent
Server_10352,1,,,multiple_single_bit_failures,permanent
Server_10353,18,,,multiple_single_bit_failures,permanent
Server_10354,4,,,multiple_single_bit_failures,permanent
Server_10356,14,,,multiple_single_bit_failures,permanent
Server_10357,9,,,multiple_single_bit_failures,permanent
Server_10358,15,,,multiple_single_bit_failures,permanent
Server_10359,2,,,multiple_single_bit_failures,permanent
Server_1036,4,,,multiple_single_bit_failures,permanent
Server_10360,5,,,multiple_single_bit_failures,permanent
Server_10361,6,,,multiple_single_bit_failures,permanent
Server_10362,3,,,multiple_single_bit_failures,permanent
Server_10363,14,,,multiple_single_bit_failures,permanent
Server_10364,11,,,multiple_single_bit_failures,permanent
Server_10364,13,,,multiple_single_bit_failures,permanent
Server_10366,23,,,multiple_single_bit_failures,permanent
Server_10368,5,,,multiple_single_bit_failures,permanent
Server_10368,18,,,multiple_single_bit_failures,permanent
Server_10369,0,,,multiple_single_bit_failures,permanent
Server_10370,2,,,multiple_single_bit_failures,permanent
Server_10372,1,,,multiple_single_bit_failures,permanent
Server_10372,7,,,multiple_single_bit_failures,permanent
Server_10374,11,,,multiple_single_bit_failures,permanent
Server_10375,7,,,multiple_single_bit_failures,permanent
Server_10376,8,,,multiple_single_bit_failures,permanent
Server_10378,3,,,multiple_single_bit_failures,permanent
Server_10380,9,,,multiple_single_bit_failures,permanent
Server_10382,17,,,multiple_single_bit_failures,permanent
Server_10384,1,,,multiple_single_bit_failures,permanent
Server_10386,10,,,multiple_single_bit_failures,permanent
Server_10388,14,,,multiple_single_bit_failures,permanent
Server_10389,19,,,multiple_single_bit_failures,permanent
Server_10391,7,,,multiple_single_bit_failures,permanent
Server_10392,5,,,multiple_single_bit_failures,permanent
Server_10394,18,,,multiple_single_bit_failures,permanent
Server_10396,23,,,multiple_single_bit_failures,permanent
Server_10398,0,,,multiple_single_bit_failures,permanent
Server_10399,2,,,multiple_single_bit_failures,permanent
Server_1040,6,,,multiple_single_bit_failures,permanent
Server_10401,16,,,multiple_single_bit_failures,permanent
Server_10402,9,,,multiple_single_bit_failures,permanent
Server_10404,20,,,multiple_single_bit_failures,permanent
Server_10405,10,,,multiple_single_bit_failures,permanent
Server_10405,14,,,multiple_single_bit_failures,permanent
Server_10407,20,,,multiple_single_bit_failures,permanent
Server_10409,4,,,multiple_single_bit_failures,permanent
Server_10410,17,,,multiple_single_bit_failures,permanent
Server_10413,2,,,multiple_single_bit_failures,permanent
Server_10414,12,,,multiple_single_bit_failures,permanent
Server_10415,7,,,multiple_single_bit_failures,permanent
Server_10418,3,,,multiple_single_bit_failures,permanent
Server_10420,14,,,multiple_single_bit_failures,permanent
Server_10421,3,,,multiple_single_bit_failures,permanent
Server_10423,6,,,multiple_single_bit_failures,permanent
Server_10424,13,,,multiple_single_bit_failures,permanent
Server_10424,23,,,multiple_single_bit_failures,permanent
Server_10429,2,,,multiple_single_bit_failures,permanent
Server_10429,22,,,multiple_single_bit_failures,permanent
Server_10430,3,,,multiple_single_bit_failures,permanent
Server_10430,19,,,multiple_single_bit_failures,permanent
Server_10431,6,,,multiple_single_bit_failures,permanent
Server_10432,10,,,multiple_single_bit_failures,permanent
Server_10433,5,,,multiple_single_bit_failures,permanent
Server_10434,10,,,multiple_single_bit_failures,permanent
Server_10435,17,,,multiple_single_bit_failures,permanent
Server_10438,23,,,multiple_single_bit_failures,permanent
Server_10441,11,,,multiple_single_bit_failures,permanent
Server_10441,13,,,multiple_single_bit_failures,permanent
Server_10442,15,,,multiple_single_bit_failures,permanent
Server_10443,21,,,multiple_single_bit_failures,permanent
Server_10444,8,,,multiple_single_bit_failures,permanent
Server_10445,3,,,multiple_single_bit_failures,permanent
Server_10445,15,,,multiple_single_bit_failures,permanent
Server_10446,16,,,multiple_single_bit_failures,permanent
Server_10448,11,,,multiple_single_bit_failures,permanent
Server_10449,23,,,multiple_single_bit_failures,permanent
Server_10451,7,,,multiple_single_bit_failures,permanent
Server_10451,13,,,multiple_single_bit_failures,permanent
Server_10452,12,,,multiple_single_bit_failures,permanent
Server_10453,9,,,multiple_single_bit_failures,permanent
Server_10454,21,,,multiple_single_bit_failures,permanent
Server_10455,13,,,multiple_single_bit_failures,permanent
Server_10456,19,,,multiple_single_bit_failures,permanent
Server_10458,7,,,multiple_single_bit_failures,permanent
Server_1046,20,,,multiple_single_bit_failures,permanent
Server_10461,7,,,multiple_single_bit_failures,permanent
Server_10462,22,,,multiple_single_bit_failures,permanent
Server_10463,16,,,multiple_single_bit_failures,permanent
Server_10466,0,,,multiple_single_bit_failures,permanent
Server_10467,18,,,multiple_single_bit_failures,permanent
Server_10471,4,,,multiple_single_bit_failures,permanent
Server_10472,4,,,multiple_single_bit_failures,permanent
Server_10473,23,,,multiple_single_bit_failures,permanent
Server_10474,7,,,multiple_single_bit_failures,permanent
Server_10476,7,,,multiple_single_bit_failures,permanent
Server_1048,14,,,multiple_single_bit_failures,permanent
Server_10480,6,,,multiple_single_bit_failures,permanent
Server_10483,0,,,multiple_single_bit_failures,permanent
Server_10483,12,,,multiple_single_bit_failures,permanent
Server_10484,22,,,multiple_single_bit_failures,permanent
Server_10486,16,,,multiple_single_bit_failures,permanent
Server_10487,22,,,multiple_single_bit_failures,permanent
Server_10488,4,,,multiple_single_bit_failures,permanent
Server_10489,6,,,multiple_single_bit_failures,permanent
Server_1049,10,,,multiple_single_bit_failures,permanent
Server_10490,1,,,multiple_single_bit_failures,permanent
Server_10491,11,,,multiple_single_bit_failures,permanent
Server_10491,20,,,multiple_single_bit_failures,permanent
Server_10492,6,,,multiple_single_bit_failures,permanent
Server_10495,9,,,multiple_single_bit_failures,permanent
Server_10496,23,,,multiple_single_bit_failures,permanent
Server_10499,0,,,multiple_single_bit_failures,permanent
Server_10499,18,,,multiple_single_bit_failures,permanent
Server_105,21,,,multiple_single_bit_failures,permanent
Server_1050,12,,,multiple_single_bit_failures,permanent
Server_10502,8,,,multiple_single_bit_failures,permanent
Server_10507,2,,,multiple_single_bit_failures,permanent
Server_1051,8,,,multiple_single_bit_failures,permanent
Server_10510,1,,,multiple_single_bit_failures,permanent
Server_10512,11,,,multiple_single_bit_failures,permanent
Server_10516,10,,,multiple_single_bit_failures,permanent
Server_10519,12,,,multiple_single_bit_failures,permanent
Server_1052,20,,,multiple_single_bit_failures,permanent
Server_10520,21,,,multiple_single_bit_failures,permanent
Server_10523,14,,,multiple_single_bit_failures,permanent
Server_10525,7,,,multiple_single_bit_failures,permanent
Server_1053,4,,,multiple_single_bit_failures,permanent
Server_10531,19,,,multiple_single_bit_failures,permanent
Server_10533,10,,,multiple_single_bit_failures,permanent
Server_10533,18,,,multiple_single_bit_failures,permanent
Server_10534,1,,,multiple_single_bit_failures,permanent
Server_10537,13,,,multiple_single_bit_failures,permanent
Server_10539,5,,,multiple_single_bit_failures,permanent
Server_10541,15,,,multiple_single_bit_failures,permanent
Server_10548,5,,,multiple_single_bit_failures,permanent
Server_10549,6,,,multiple_single_bit_failures,permanent
Server_1055,2,,,multiple_single_bit_failures,permanent
Server_10551,21,,,multiple_single_bit_failures,permanent
Server_10554,23,,,multiple_single_bit_failures,permanent
Server_10556,8,,,multiple_single_bit_failures,permanent
Server_10556,18,,,multiple_single_bit_failures,permanent
Server_10557,15,,,multiple_single_bit_failures,permanent
Server_10557,22,,,multiple_single_bit_failures,permanent
Server_10558,5,,,multiple_single_bit_failures,permanent
Server_10560,18,,,multiple_single_bit_failures,permanent
Server_10561,4,,,multiple_single_bit_failures,permanent
Server_10564,20,,,multiple_single_bit_failures,permanent
Server_10566,13,,,multiple_single_bit_failures,permanent
Server_10568,2,,,multiple_single_bit_failures,permanent
Server_10569,10,,,multiple_single_bit_failures,permanent
Server_1057,0,,,multiple_single_bit_failures,permanent
Server_10570,19,,,multiple_single_bit_failures,permanent
Server_10571,3,,,multiple_single_bit_failures,permanent
Server_10575,11,,,multiple_single_bit_failures,permanent
Server_10577,9,,,multiple_single_bit_failures,permanent
Server_10578,21,,,multiple_single_bit_failures,permanent
Server_1058,20,,,multiple_single_bit_failures,permanent
Server_10581,4,,,multiple_single_bit_failures,permanent
Server_10582,7,,,multiple_single_bit_failures,permanent
Server_10584,7,,,multiple_single_bit_failures,permanent
Server_1059,14,,,multiple_single_bit_failures,permanent
Server_10591,10,,,multiple_single_bit_failures,permanent
Server_10592,6,,,multiple_single_bit_failures,permanent
Server_10594,6,,,multiple_single_bit_failures,permanent
Server_10595,10,,,multiple_single_bit_failures,permanent
Server_10596,14,,,multiple_single_bit_failures,permanent
Server_10597,13,,,multiple_single_bit_failures,permanent
Server_10597,14,,,multiple_single_bit_failures,permanent
Server_10598,1,,,multiple_single_bit_failures,permanent
Server_10598,3,,,multiple_single_bit_failures,permanent
Server_10601,0,,,multiple_single_bit_failures,permanent
Server_10605,5,,,multiple_single_bit_failures,permanent
Server_10607,18,,,multiple_single_bit_failures,permanent
Server_10609,9,,,multiple_single_bit_failures,permanent
Server_10611,10,,,multiple_single_bit_failures,permanent
Server_10612,14,,,multiple_single_bit_failures,permanent
Server_10613,4,,,multiple_single_bit_failures,permanent
Server_10614,11,,,multiple_single_bit_failures,permanent
Server_10616,16,,,multiple_single_bit_failures,permanent
Server_10620,7,,,multiple_single_bit_failures,permanent
Server_10621,8,,,multiple_single_bit_failures,permanent
Server_10622,18,,,multiple_single_bit_failures,permanent
Server_10623,5,,,multiple_single_bit_failures,permanent
Server_10625,3,,,multiple_single_bit_failures,permanent
Server_10626,16,,,multiple_single_bit_failures,permanent
Server_10627,2,,,multiple_single_bit_failures,permanent
Server_1063,10,,,multiple_single_bit_failures,permanent
Server_1063,20,,,multiple_single_bit_failures,permanent
Server_10632,21,,,multiple_single_bit_failures,permanent
Server_10633,6,,,multiple_single_bit_failures,permanent
Server_10635,4,,,multiple_single_bit_failures,permanent
Server_10636,6,,,multiple_single_bit_failures,permanent
Server_10636,9,,,multiple_single_bit_failures,permanent
Server_10637,8,,,multiple_single_bit_failures,permanent
Server_10637,16,,,multiple_single_bit_failures,permanent
Server_10638,14,,,multiple_single_bit_failures,permanent
Server_10639,20,,,multiple_single_bit_failures,permanent
Server_1064,10,,,multiple_single_bit_failures,permanent
Server_10640,1,,,multiple_single_bit_failures,permanent
Server_10641,19,,,multiple_single_bit_failures,permanent
Server_10642,18,,,multiple_single_bit_failures,permanent
Server_10644,3,,,multiple_single_bit_failures,permanent
Server_10646,1,,,multiple_single_bit_failures,permanent
Server_10649,11,,,multiple_single_bit_failures,permanent
Server_10651,20,,,multiple_single_bit_failures,permanent
Server_10652,22,,,multiple_single_bit_failures,permanent
Server_10653,9,,,multiple_single_bit_failures,permanent
Server_10656,1,,,multiple_single_bit_failures,permanent
Server_10659,15,,,multiple_single_bit_failures,permanent
Server_10661,2,,,multiple_single_bit_failures,permanent
Server_10662,14,,,multiple_single_bit_failures,permanent
Server_10663,16,,,multiple_single_bit_failures,permanent
Server_10664,9,,,multiple_single_bit_failures,permanent
Server_10664,21,,,multiple_single_bit_failures,permanent
Server_10665,15,,,multiple_single_bit_failures,permanent
Server_10666,16,,,multiple_single_bit_failures,permanent
Server_10668,16,,,multiple_single_bit_failures,permanent
Server_10668,23,,,multiple_single_bit_failures,permanent
Server_10673,19,,,multiple_single_bit_failures,permanent
Server_10674,3,,,multiple_single_bit_failures,permanent
Server_10675,12,,,multiple_single_bit_failures,permanent
Server_10676,9,,,multiple_single_bit_failures,permanent
Server_10677,0,,,multiple_single_bit_failures,permanent
Server_1068,18,,,multiple_single_bit_failures,permanent
Server_10680,3,,,multiple_single_bit_failures,permanent
Server_10681,2,,,multiple_single_bit_failures,permanent
Server_10683,15,,,multiple_single_bit_failures,permanent
Server_10684,8,,,multiple_single_bit_failures,permanent
Server_10685,9,,,multiple_single_bit_failures,permanent
Server_10687,7,,,multiple_single_bit_failures,permanent
Server_1069,8,,,multiple_single_bit_failures,permanent
Server_10692,16,,,multiple_single_bit_failures,permanent
Server_10693,16,,,multiple_single_bit_failures,permanent
Server_10694,14,,,multiple_single_bit_failures,permanent
Server_10700,11,,,multiple_single_bit_failures,permanent
Server_1071,22,,,multiple_single_bit_failures,permanent
Server_10710,8,,,multiple_single_bit_failures,permanent
Server_10714,5,,,multiple_single_bit_failures,permanent
Server_1072,4,,,multiple_single_bit_failures,permanent
Server_10727,5,,,multiple_single_bit_failures,permanent
Server_10728,16,,,multiple_single_bit_failures,permanent
Server_1073,12,,,multiple_single_bit_failures,permanent
Server_10733,22,,,multiple_single_bit_failures,permanent
Server_10735,6,,,multiple_single_bit_failures,permanent
Server_10736,4,,,multiple_single_bit_failures,permanent
Server_1074,18,,,multiple_single_bit_failures,permanent
Server_10742,2,,,multiple_single_bit_failures,permanent
Server_10743,10,,,multiple_single_bit_failures,permanent
Server_10746,16,,,multiple_single_bit_failures,permanent
Server_10747,2,,,multiple_single_bit_failures,permanent
Server_10748,6,,,multiple_single_bit_failures,permanent
Server_1075,14,,,multiple_single_bit_failures,permanent
Server_10750,20,,,multiple_single_bit_failures,permanent
Server_10752,18,,,multiple_single_bit_failures,permanent
Server_10753,18,,,multiple_single_bit_failures,permanent
Server_10754,8,,,multiple_single_bit_failures,permanent
Server_10756,10,,,multiple_single_bit_failures,permanent
Server_10756,18,,,multiple_single_bit_failures,permanent
Server_10757,10,,,multiple_single_bit_failures,permanent
Server_10758,2,,,multiple_single_bit_failures,permanent
Server_1076,14,,,multiple_single_bit_failures,permanent
Server_10760,18,,,multiple_single_bit_failures,permanent
Server_10762,18,,,multiple_single_bit_failures,permanent
Server_10763,14,,,multiple_single_bit_failures,permanent
Server_10765,2,,,multiple_single_bit_failures,permanent
Server_10767,8,,,multiple_single_bit_failures,permanent
Server_10769,22,,,multiple_single_bit_failures,permanent
Server_1077,12,,,multiple_single_bit_failures,permanent
Server_10771,17,,,multiple_single_bit_failures,permanent
Server_10771,23,,,multiple_single_bit_failures,permanent
Server_10772,1,,,multiple_single_bit_failures,permanent
Server_10772,7,,,multiple_single_bit_failures,permanent
Server_10773,1,,,multiple_single_bit_failures,permanent
Server_10774,20,,,multiple_single_bit_failures,permanent
Server_10775,12,,,multiple_single_bit_failures,permanent
Server_10776,14,,,multiple_single_bit_failures,permanent
Server_10776,17,,,multiple_single_bit_failures,permanent
Server_10777,20,,,multiple_single_bit_failures,permanent
Server_10778,20,,,multiple_single_bit_failures,permanent
Server_10779,3,,,multiple_single_bit_failures,permanent
